run_date,reporting_period,reporting_airport,origin_destination_country,origin_destination,airline_name,scheduled_charter,number_flights_matched,actual_flights_unmatched,early_to_15_mins_late_percent,flts_16_to_30_mins_late_percent,flts_31_to_60_mins_late_percent,flts_61_to_180_mins_late_percent,flts_181_to_360_mins_late_percent,more_than_360_mins_late_percent,average_delay_mins,planned_flights_unmatched,previous_year_month_flights_matched,previous_year_month_early_to_15_mins_late_percent,previous_year_month_average_delay
03/03/2017 10:42,201609,ABERDEEN,BULGARIA,BURGAS,BH AIR,C,9,0,66.66666667,33.33333333,0,0,0,0,13.66667,0,7,100,2.142857143
03/03/2017 10:42,201609,ABERDEEN,DENMARK,COPENHAGEN,SAS,S,88,0,76.13636364,18.18181818,5.681818182,0,0,0,9.47727,88,92,96.73913044,1.706521739
03/03/2017 10:42,201609,ABERDEEN,DENMARK,ESBJERG,BMI REGIONAL,S,48,0,75,4.166666667,2.083333333,18.75,0,0,19.95833,48,52,80.76923077,9.538461538
03/03/2017 10:42,201609,ABERDEEN,DENMARK,ESBJERG,CITY JET,C,1,0,100,0,0,0,0,0,10,0,0,0,0
03/03/2017 10:42,201609,ABERDEEN,DENMARK,ESBJERG,CITY JET,S,1,0,0,0,0,100,0,0,91,1,0,0,0
03/03/2017 10:42,201609,ABERDEEN,DENMARK,ESBJERG,DANISH AIR TRANSPORT,S,2,0,0,50,0,50,0,0,55,0,0,0,0
03/03/2017 10:42,201609,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),AIR FRANCE,S,168,0,88.69047619,6.547619048,2.976190476,1.785714286,0,0,6.27381,168,0,0,0
03/03/2017 10:42,201609,ABERDEEN,FRANCE,PARIS (CHARLES DE GAULLE),HOP - R C A E ,S,0,0,0,0,0,0,0,0,0,0,169,82.84023669,7.437869822
03/03/2017 10:42,201609,ABERDEEN,GERMANY,FRANKFURT MAIN,LUFTHANSA,S,117,0,82.05128205,12.82051282,1.709401709,1.709401709,0,1.709401709,19.2735,120,172,89.53488372,5.639534884
03/03/2017 10:42,201609,ABERDEEN,GREECE,CORFU,EUROPE AIRPOST,C,10,0,100,0,0,0,0,0,1.2,0,8,100,2.5
03/03/2017 10:42,201609,ABERDEEN,ICELAND,KEFLAVIK,FLUGFELAG ISLANDS(AIR ICELAND),S,30,0,86.66666667,13.33333333,0,0,0,0,5.83333,34,0,0,0
03/03/2017 10:42,201609,ABERDEEN,IRISH REPUBLIC,DUBLIN,AER LINGUS,S,60,0,83.33333333,0,8.333333333,8.333333333,0,0,12.05,60,0,0,0
03/03/2017 10:42,201609,ABERDEEN,IRISH REPUBLIC,DUBLIN,STOBART AIR,S,0,0,0,0,0,0,0,0,0,0,60,83.33333333,6
03/03/2017 10:42,201609,ABERDEEN,NETHERLANDS,AMSTERDAM,DENIM AIR,C,0,0,0,0,0,0,0,0,0,0,2,50,13
03/03/2017 10:42,201609,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM,S,116,0,86.20689655,10.34482759,2.586206897,0.862068966,0,0,7.43966,298,170,88.23529412,6.994117647
03/03/2017 10:42,201609,ABERDEEN,NETHERLANDS,AMSTERDAM,KLM CITYHOPPER,S,180,0,92.22222222,4.444444444,2.222222222,0.555555556,0.555555556,0,6.32778,0,132,88.63636364,5.060606061
03/03/2017 10:42,201609,ABERDEEN,NETHERLANDS,ROTTERDAM,LOGANAIR LTD,C,0,0,0,0,0,0,0,0,0,0,1,0,397
03/03/2017 10:42,201609,ABERDEEN,NETHERLANDS,ROTTERDAM,VLM (BELGIUM),C,0,0,0,0,0,0,0,0,0,0,4,75,9
03/03/2017 10:42,201609,ABERDEEN,NORWAY,BERGEN,WIDEROE FLYVESELSKAP A/S,S,88,0,82.95454546,15.90909091,1.136363636,0,0,0,7.40909,96,114,92.98245614,4.578947368
03/03/2017 10:42,201609,ABERDEEN,NORWAY,HAUGESUND,EASTERN AIRWAYS,C,2,0,50,0,50,0,0,0,24,0,0,0,0
03/03/2017 10:42,201609,ABERDEEN,NORWAY,OSLO (GARDERMOEN),BMI REGIONAL,S,50,0,76,10,4,6,0,4,29.34,50,52,82.69230769,9.192307692
03/03/2017 10:42,201609,ABERDEEN,NORWAY,OSLO (GARDERMOEN),SAS,S,50,0,74,18,8,0,0,0,11.22,51,48,97.91666667,2.166666667
03/03/2017 10:42,201609,ABERDEEN,NORWAY,STAVANGER,BMI REGIONAL,S,1,0,100,0,0,0,0,0,8,0,0,0,0
03/03/2017 10:42,201609,ABERDEEN,NORWAY,STAVANGER,EASTERN AIRWAYS,C,0,0,0,0,0,0,0,0,0,0,2,100,4
03/03/2017 10:42,201609,ABERDEEN,NORWAY,STAVANGER,SAS,S,102,0,91.17647059,3.921568627,4.901960784,0,0,0,4.73529,102,104,97.11538462,1.605769231
03/03/2017 10:42,201609,ABERDEEN,NORWAY,STAVANGER,WIDEROE FLYVESELSKAP A/S,S,118,0,87.28813559,8.474576271,2.542372881,1.694915254,0,0,7.77966,122,156,95.51282051,2.705128205
03/03/2017 10:42,201609,ABERDEEN,POLAND,GDANSK,WIZZ AIR,S,21,0,76.19047619,0,9.523809524,14.28571429,0,0,24.66667,22,16,75,7.8125
03/03/2017 10:42,201609,ABERDEEN,POLAND,WARSAW (CHOPIN),WIZZ AIR,S,18,0,22.22222222,33.33333333,33.33333333,11.11111111,0,0,34.77778,17,0,0,0
03/03/2017 10:42,201609,ABERDEEN,PORTUGAL(EXCLUDING MADEIRA),FARO,EUROPE AIRPOST,C,10,0,80,20,0,0,0,0,4.3,0,8,100,2.375
03/03/2017 10:42,201609,ABERDEEN,SPAIN,IBIZA,EUROPE AIRPOST,C,8,0,87.5,0,12.5,0,0,0,10.875,0,10,90,4.8
03/03/2017 10:42,201609,ABERDEEN,SPAIN,MALAGA,BA CITYFLYER LTD,C,8,0,25,12.5,25,25,12.5,0,62.625,0,8,87.5,3.625
03/03/2017 10:42,201609,ABERDEEN,SPAIN,PALMA DE MALLORCA,BA CITYFLYER LTD,C,8,0,50,12.5,12.5,25,0,0,50.625,0,8,75,5.875
03/03/2017 10:42,201609,ABERDEEN,SPAIN,PALMA DE MALLORCA,EUROPE AIRPOST,C,26,0,80.76923077,7.692307692,7.692307692,3.846153846,0,0,11.76923,0,26,65.38461539,22.84615385
03/03/2017 10:42,201609,ABERDEEN,SPAIN,REUS,BA CITYFLYER LTD,C,8,0,50,0,0,25,25,0,79.5,0,8,87.5,10.875
03/03/2017 10:42,201609,ABERDEEN,SPAIN(CANARY ISLANDS),LAS PALMAS,EUROPE AIRPOST,C,8,0,100,0,0,0,0,0,2.125,0,0,0,0
03/03/2017 10:42,201609,ABERDEEN,SPAIN(CANARY ISLANDS),TENERIFE (SURREINA SOFIA),EUROPE AIRPOST,C,8,0,87.5,12.5,0,0,0,0,3.875,0,8,100,1.5
03/03/2017 10:42,201609,ABERDEEN,TURKEY,DALAMAN,EUROPE AIRPOST,C,0,0,0,0,0,0,0,0,0,0,4,100,2.5
03/03/2017 10:42,201609,ABERDEEN,TURKEY,DALAMAN,SUNEXPRESS,C,0,0,0,0,0,0,0,0,0,0,16,56.25,19.25
03/03/2017 10:42,201609,ABERDEEN,TURKEY,DALAMAN,THOMSON AIRWAYS LTD,C,10,0,80,10,10,0,0,0,10.5,0,4,75,7.5
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,BELFAST CITY (GEORGE BEST),FLYBE LTD,S,66,0,92.42424242,1.515151515,1.515151515,4.545454545,0,0,6.90909,68,51,74.50980392,20.84313726
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,BIRMINGHAM,FLYBE LTD,S,210,0,75.23809524,11.90476191,6.666666667,5.714285714,0.476190476,0,14.8619,216,180,86.11111111,8.283333333
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,BOURNEMOUTH,EASTERN AIRWAYS,C,2,0,100,0,0,0,0,0,6.5,0,0,0,0
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,BRISTOL,BMI REGIONAL,S,92,0,70.65217391,9.782608696,3.260869565,9.782608696,6.52173913,0,29.30435,98,96,70.83333333,18.1875
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,CARDIFF WALES,EASTERN AIRWAYS,S,51,0,70.58823529,7.843137255,13.7254902,7.843137255,0,0,17.05882,52,50,88,6.24
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,DURHAM TEES VALLEY,EASTERN AIRWAYS,S,112,0,73.21428571,6.25,13.39285714,5.357142857,1.785714286,0,19.08036,124,160,86.875,7.54375
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,EAST MIDLANDS INTERNATIONAL,EASTERN AIRWAYS,S,40,0,62.5,17.5,10,7.5,2.5,0,21.575,79,123,90.24390244,9.317073171
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,GATWICK,EASYJET AIRLINE COMPANY LTD,S,68,0,33.82352941,16.17647059,20.58823529,23.52941177,5.882352941,0,50.08824,68,104,65.38461539,19.23076923
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,HEATHROW,BRITISH AIRWAYS PLC,S,457,0,72.64770241,15.53610503,8.315098468,2.84463895,0.656455142,0,14.07221,459,480,69.58333333,15.0375
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,HEATHROW,VIRGIN ATLANTIC AIRWAYS LTD,S,0,0,0,0,0,0,0,0,0,0,156,91.02564103,4.692307692
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,HUMBERSIDE,EASTERN AIRWAYS,S,123,0,58.53658537,10.56910569,9.756097561,17.88617886,3.25203252,0,32.15447,138,154,87.66233766,8.376623377
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,JERSEY,FLYBE LTD,S,6,0,83.33333333,16.66666667,0,0,0,0,3.5,6,6,100,2
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,KIRKWALL,FLYBE LTD,S,164,0,76.2195122,6.707317073,3.658536585,8.536585366,4.87804878,0,27.13415,164,0,0,0
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,KIRKWALL,LOGANAIR LTD,S,0,0,0,0,0,0,0,0,0,7,164,70.73170732,20.05487805
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,LEEDS BRADFORD,EASTERN AIRWAYS,S,33,0,39.39393939,30.3030303,6.060606061,24.24242424,0,0,33.33333,42,50,80,11.14
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,LONDON CITY,BA CITYFLYER LTD,S,9,0,55.55555556,22.22222222,11.11111111,11.11111111,0,0,21.55556,0,8,87.5,4.375
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,LONDON CITY,FLYBE LTD,S,100,0,89,4,3,4,0,0,7.94,104,148,91.21621622,4.621621622
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,LUTON,EASYJET AIRLINE COMPANY LTD,S,50,0,36,36,8,20,0,0,30.22,50,41,41.46341463,32.31707317
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,MANCHESTER,EASTERN AIRWAYS,C,3,0,66.66666667,0,33.33333333,0,0,0,25,0,2,50,26
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,MANCHESTER,FLYBE LTD,S,274,0,85.40145985,8.394160584,3.284671533,2.554744526,0.364963504,0,9.88321,286,298,75.16778524,19.1409396
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,NEWCASTLE,BMI REGIONAL,S,1,0,0,100,0,0,0,0,18,2,0,0,0
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,NEWCASTLE,EASTERN AIRWAYS,S,60,0,50,11.66666667,23.33333333,15,0,0,32.78333,97,112,83.92857143,12.25
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,NEWQUAY,FLYBE LTD,S,2,0,100,0,0,0,0,0,0,2,0,0,0
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,NORWICH,BMI REGIONAL,S,108,0,72.22222222,8.333333333,12.96296296,5.555555556,0.925925926,0,15.86111,111,96,81.25,12.86458333
03/03/2017 10:42,201609,ABERDEEN,UNITED KINGDOM,NORWICH,EASTERN AIRWAYS,S,119,0,60.50420168,16.80672269,14.28571429,7.56302521,0.840336134,0,22.23529,141,138,76.08695652,14.88405797
