Yr/Mth,Airport,Temp Avg,WSPD
201801,BELFAST INTERNATIONAL,4.2,18.7
201802,BELFAST INTERNATIONAL,3.0,16.7
201803,BELFAST INTERNATIONAL,4.0,
201804,BELFAST INTERNATIONAL,8.1,
201805,BELFAST INTERNATIONAL,12.3,14.0
201806,BELFAST INTERNATIONAL,15.5,11.0
201807,BELFAST INTERNATIONAL,16.4,11.1
201808,BELFAST INTERNATIONAL,14.7,13.2
201809,BELFAST INTERNATIONAL,11.7,14.9
201810,BELFAST INTERNATIONAL,9.5,14.8
201811,BELFAST INTERNATIONAL,7.8,19.1
201812,BELFAST INTERNATIONAL,7.0,16.9
201901,BELFAST INTERNATIONAL,5.3,13.8
201902,BELFAST INTERNATIONAL,7.3,18.3
201903,BELFAST INTERNATIONAL,7.3,
201904,BELFAST INTERNATIONAL,9.4,18.0
201905,BELFAST INTERNATIONAL,10.5,11.9
201906,BELFAST INTERNATIONAL,13.4,12.5
201907,BELFAST INTERNATIONAL,16.3,12.6
201908,BELFAST INTERNATIONAL,15.9,15.0
201909,BELFAST INTERNATIONAL,13.8,13.6
201910,BELFAST INTERNATIONAL,9.4,14.5
201911,BELFAST INTERNATIONAL,6.2,12.8
201912,BELFAST INTERNATIONAL,5.8,17.2
201801,CARDIFF WALES,6.2,
201802,CARDIFF WALES,3.8,19.4
201805,CARDIFF WALES,13.0,14.5
201806,CARDIFF WALES,17.1,
201807,CARDIFF WALES,19.0,14.6
201808,CARDIFF WALES,16.7,16.1
201809,CARDIFF WALES,14.1,15.6
201810,CARDIFF WALES,11.1,16.5
201811,CARDIFF WALES,9.1,20.1
201812,CARDIFF WALES,8.5,20.4
201901,CARDIFF WALES,5.4,15.3
201902,CARDIFF WALES,7.3,16.2
201904,CARDIFF WALES,9.8,18.2
201905,CARDIFF WALES,11.7,15.2
201906,CARDIFF WALES,14.2,17.2
201907,CARDIFF WALES,17.8,15.0
201908,CARDIFF WALES,17.1,18.2
201909,CARDIFF WALES,15.1,18.3
201910,CARDIFF WALES,11.4,17.7
201911,CARDIFF WALES,7.5,17.7
201912,CARDIFF WALES,7.2,18.7
201801,GLASGOW,3.6,
201802,GLASGOW,3.0,14.7
201805,GLASGOW,12.4,14.7
201806,GLASGOW,15.2,
201807,GLASGOW,16.9,12.3
201808,GLASGOW,14.3,14.2
201809,GLASGOW,11.9,18.5
201810,GLASGOW,9.3,17.4
201811,GLASGOW,7.7,16.9
201812,GLASGOW,5.5,14.0
201901,GLASGOW,3.8,13.6
201902,GLASGOW,6.2,15.5
201904,GLASGOW,8.7,16.8
201905,GLASGOW,10.2,13.3
201906,GLASGOW,13.5,15.1
201907,GLASGOW,16.4,13.6
201908,GLASGOW,15.5,16.0
201909,GLASGOW,12.8,14.7
201910,GLASGOW,8.2,15.4
201911,GLASGOW,4.3,11.6
201912,GLASGOW,5.6,17.8
201801,HEATHROW,6.7,18.7
201802,HEATHROW,3.6,14.7
201803,HEATHROW,6.0,
201804,HEATHROW,11.3,14.8
201805,HEATHROW,15.0,11.5
201806,HEATHROW,18.0,13.2
201807,HEATHROW,21.8,12.6
201808,HEATHROW,18.8,13.3
201809,HEATHROW,15.3,14.3
201810,HEATHROW,12.0,12.8
201811,HEATHROW,8.9,14.9
201812,HEATHROW,7.9,15.8
201901,HEATHROW,4.9,12.9
201902,HEATHROW,8.0,14.1
201903,HEATHROW,9.6,
201904,HEATHROW,10.7,13.1
201905,HEATHROW,13.5,11.0
201906,HEATHROW,16.9,15.1
201907,HEATHROW,20.2,13.2
201908,HEATHROW,19.6,15.4
201909,HEATHROW,16.5,14.6
201910,HEATHROW,12.2,14.1
201911,HEATHROW,7.5,11.7
201912,HEATHROW,7.2,16.2
