Yr/Mth,Airport,(0-15) mins Late %,(16-30) mins Late %,(31-60) mins Late %,(61-120) mins Late %,(121-180) mins Late %,(181-360) mins Late %,360+ mins Late %,Flights Cancelled %,Average mins delay,Max Temp C,Min Temp C,Af days,Rain mm,Sun Hrs,Temp Avg,WSPD
201801,BELFAST INTERNATIONAL,32.03498437096774,9.603242677419354,7.174043241935484,2.417528112903226,1.0960659193548385,0.21623735483870968,0.006776903225806452,0.0,11.139890935483871,7.2,1.8,6.0,127.1,51.1,4.2,18.7
201801,HEATHROW,27.932612864779873,10.22994220754717,7.687583320754717,2.9907665471698115,0.9899667138364779,0.46722289308176096,0.21400066666666664,1.0818626729559748,13.817665732704404,9.7,3.8,1.0,58.0,46.5,6.7,18.7
201802,BELFAST INTERNATIONAL,30.992039088235295,9.30143661764706,4.844293985294118,1.6874008529411764,0.5837836176470589,0.20243857352941175,0.09191176470588236,0.09026939705882353,9.329563132352941,7.1,0.2,11.0,61.6,96.6,3.0,16.7
201802,CARDIFF WALES,27.82925596923077,7.25535556923077,4.43091936923077,0.8770584307692307,0.08076923076923077,0.057692307692307696,0.0,0.4980221384615385,6.364089015384616,7.5,0.8,14.0,50.0,,3.8,19.4
201802,GLASGOW,24.549151934210528,8.200256506578947,4.745591835526316,1.6566152631578948,0.9037146644736843,0.8461305328947368,0.04405067763157894,2.975849243421053,10.423810256578948,6.4,0.1,12.0,67.6,94.5,3.0,14.7
201802,HEATHROW,29.409211112852667,8.633664448275862,5.670170460815047,2.5340156771159874,0.7219487335423198,0.4585580815047022,0.12312905329153605,0.7790082539184954,11.334584178683386,6.7,0.6,12.0,29.0,92.0,3.6,14.7
201804,HEATHROW,31.542518573667714,10.743192018808777,7.163302918495298,2.366847987460815,0.4482191661442006,0.385759539184953,0.11236840125391849,0.2438118213166144,11.832146056426332,15.5,7.9,0.0,65.2,113.4,11.3,14.8
201805,BELFAST INTERNATIONAL,36.38868812727273,9.013949345454545,9.383683381818182,2.8249112454545453,1.1237090272727273,1.1965690454545457,0.26559598181818184,0.08928778181818182,17.608548245454546,17.9,7.9,0.0,32.8,202.5,12.3,14.0
201805,CARDIFF WALES,33.46621654022989,7.716080528735632,11.843014149425288,6.3029910919540235,2.556490275862069,0.7130496206896552,0.11494252873563218,0.315674275862069,20.711484149425285,19.0,8.8,0.0,56.2,,13.0,14.5
201805,GLASGOW,23.810107299559473,10.476141894273127,7.517998757709251,4.422436453744493,0.8339765462555067,0.4153376651982379,0.007105299559471366,0.640507127753304,13.34323414537445,17.7,7.8,0.0,27.6,232.8,12.4,14.7
